#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    27   0.978769E+03   0.167179E+01   0.178278E-02   0.622290E-01   0.110248E-02   0.167179E+01   0.142526E-01   0.484975E-06   0.478115E-05   0.735080E-07   0.178278E-02   0.484975E-06   0.110634E-06   0.532174E-05   0.116953E-06   0.622290E-01   0.478115E-05   0.532174E-05   0.120003E-02   0.138799E-04   0.110248E-02   0.735080E-07   0.116953E-06   0.138799E-04   0.579868E-06
    28   0.993294E+03   0.171309E+01   0.174453E-02   0.609339E-01   0.106958E-02   0.171309E+01   0.162188E-01   0.406799E-06   0.476588E-05   0.738240E-07   0.174453E-02   0.406799E-06   0.110757E-06   0.539392E-05   0.117165E-06   0.609339E-01   0.476588E-05   0.539392E-05   0.125917E-02   0.144931E-04   0.106958E-02   0.738240E-07   0.117165E-06   0.144931E-04   0.597330E-06
    29   0.100807E+04   0.175513E+01   0.170795E-02   0.596044E-01   0.103758E-02   0.175513E+01   0.183681E-01   0.274114E-06   0.465427E-05   0.726358E-07   0.170795E-02   0.274114E-06   0.110812E-06   0.545566E-05   0.117272E-06   0.596044E-01   0.465427E-05   0.545566E-05   0.131682E-02   0.150886E-04   0.103758E-02   0.726358E-07   0.117272E-06   0.150886E-04   0.614302E-06
    30   0.102330E+04   0.178876E+01   0.167322E-02   0.582543E-01   0.100660E-02   0.178876E+01   0.207218E-01   0.713017E-07   0.442622E-05   0.692272E-07   0.167322E-02   0.713017E-07   0.110800E-06   0.550740E-05   0.117281E-06   0.582543E-01   0.442622E-05   0.550740E-05   0.137282E-02   0.156656E-04   0.100660E-02   0.692272E-07   0.117281E-06   0.156656E-04   0.630781E-06
    31   0.103837E+04   0.181946E+01   0.163994E-02   0.568930E-01   0.976730E-03   0.181946E+01   0.232507E-01  -0.191127E-06   0.415346E-05   0.644327E-07   0.163994E-02  -0.191127E-06   0.110731E-06   0.555003E-05   0.117207E-06   0.568930E-01   0.415346E-05   0.555003E-05   0.142718E-02   0.162248E-04   0.976730E-03   0.644327E-07   0.117207E-06   0.162248E-04   0.646814E-06
    32   0.105407E+04   0.183781E+01   0.160759E-02   0.555282E-01   0.948053E-03   0.183781E+01   0.259521E-01  -0.480186E-06   0.392006E-05   0.593847E-07   0.160759E-02  -0.480186E-06   0.110615E-06   0.558446E-05   0.117064E-06   0.555282E-01   0.392006E-05   0.558446E-05   0.147991E-02   0.167671E-04   0.948053E-03   0.593847E-07   0.117064E-06   0.167671E-04   0.662450E-06
    33   0.106986E+04   0.184458E+01   0.157598E-02   0.541657E-01   0.920598E-03   0.184458E+01   0.288133E-01  -0.699114E-06   0.376760E-05   0.548552E-07   0.157598E-02  -0.699114E-06   0.110453E-06   0.561137E-05   0.116860E-06   0.541657E-01   0.376760E-05   0.561137E-05   0.153099E-02   0.172929E-04   0.920598E-03   0.548552E-07   0.116860E-06   0.172929E-04   0.677705E-06
    34   0.108571E+04   0.184448E+01   0.154499E-02   0.528115E-01   0.894372E-03   0.184448E+01   0.318884E-01  -0.757319E-06   0.371610E-05   0.513846E-07   0.154499E-02  -0.757319E-06   0.110248E-06   0.563136E-05   0.116601E-06   0.528115E-01   0.371610E-05   0.563136E-05   0.158042E-02   0.178028E-04   0.894372E-03   0.513846E-07   0.116601E-06   0.178028E-04   0.692587E-06
    35   0.110220E+04   0.183078E+01   0.151475E-02   0.514739E-01   0.869343E-03   0.183078E+01   0.351726E-01  -0.652675E-06   0.374180E-05   0.489487E-07   0.151475E-02  -0.652675E-06   0.110005E-06   0.564508E-05   0.116294E-06   0.514739E-01   0.374180E-05   0.564508E-05   0.162820E-02   0.182975E-04   0.869343E-03   0.489487E-07   0.116294E-06   0.182975E-04   0.707112E-06
    36   0.111847E+04   0.181454E+01   0.148546E-02   0.501624E-01   0.845454E-03   0.181454E+01   0.386753E-01  -0.423343E-06   0.381082E-05   0.473767E-07   0.148546E-02  -0.423343E-06   0.109725E-06   0.565319E-05   0.115945E-06   0.501624E-01   0.381082E-05   0.565319E-05   0.167438E-02   0.187780E-04   0.845454E-03   0.473767E-07   0.115945E-06   0.187780E-04   0.721298E-06
    37   0.113502E+04   0.178543E+01   0.145746E-02   0.488900E-01   0.822578E-03   0.178543E+01   0.424134E-01  -0.180156E-06   0.389251E-05   0.464772E-07   0.145746E-02  -0.180156E-06   0.109412E-06   0.565631E-05   0.115559E-06   0.488900E-01   0.389251E-05   0.565631E-05   0.171902E-02   0.192453E-04   0.822578E-03   0.464772E-07   0.115559E-06   0.192453E-04   0.735161E-06
    38   0.115197E+04   0.174144E+01   0.143103E-02   0.476663E-01   0.800577E-03   0.174144E+01   0.463752E-01  -0.220899E-07   0.395932E-05   0.460368E-07   0.143103E-02  -0.220899E-07   0.109068E-06   0.565503E-05   0.115141E-06   0.476663E-01   0.395932E-05   0.565503E-05   0.176220E-02   0.197005E-04   0.800577E-03   0.460368E-07   0.115141E-06   0.197005E-04   0.748712E-06
    39   0.116921E+04   0.168567E+01   0.140583E-02   0.464843E-01   0.779339E-03   0.168567E+01   0.505746E-01   0.719888E-07   0.399260E-05   0.457747E-07   0.140583E-02   0.719888E-07   0.108696E-06   0.564989E-05   0.114696E-06   0.464843E-01   0.399260E-05   0.564989E-05   0.180400E-02   0.201446E-04   0.779339E-03   0.457747E-07   0.114696E-06   0.201446E-04   0.761959E-06
    40   0.118664E+04   0.162148E+01   0.138137E-02   0.453330E-01   0.758757E-03   0.162148E+01   0.550344E-01   0.153239E-06   0.397596E-05   0.453934E-07   0.138137E-02   0.153239E-06   0.108297E-06   0.564141E-05   0.114226E-06   0.453330E-01   0.397596E-05   0.564141E-05   0.184452E-02   0.205788E-04   0.758757E-03   0.453934E-07   0.114226E-06   0.205788E-04   0.774905E-06
    41   0.120415E+04   0.155150E+01   0.135727E-02   0.442028E-01   0.738745E-03   0.155150E+01   0.597728E-01   0.259853E-06   0.389767E-05   0.446506E-07   0.135727E-02   0.259853E-06   0.107872E-06   0.563009E-05   0.113734E-06   0.442028E-01   0.389767E-05   0.563009E-05   0.188384E-02   0.210040E-04   0.738745E-03   0.446506E-07   0.113734E-06   0.210040E-04   0.787556E-06
    42   0.122177E+04   0.147536E+01   0.133354E-02   0.430910E-01   0.719292E-03   0.147536E+01   0.647882E-01   0.378151E-06   0.376466E-05   0.435247E-07   0.133354E-02   0.378151E-06   0.107423E-06   0.561636E-05   0.113223E-06   0.430910E-01   0.376466E-05   0.561636E-05   0.192210E-02   0.214214E-04   0.719292E-03   0.435247E-07   0.113223E-06   0.214214E-04   0.799920E-06
    43   0.123949E+04   0.139155E+01   0.131028E-02   0.419962E-01   0.700406E-03   0.139155E+01   0.700738E-01   0.481485E-06   0.358850E-05   0.420495E-07   0.131028E-02   0.481485E-06   0.106953E-06   0.560063E-05   0.112696E-06   0.419962E-01   0.358850E-05   0.560063E-05   0.195941E-02   0.218321E-04   0.700406E-03   0.420495E-07   0.112696E-06   0.218321E-04   0.812004E-06
    44   0.125738E+04   0.129695E+01   0.128760E-02   0.409173E-01   0.682096E-03   0.129695E+01   0.756209E-01   0.543209E-06   0.338080E-05   0.402586E-07   0.128760E-02   0.543209E-06   0.106462E-06   0.558329E-05   0.112155E-06   0.409173E-01   0.338080E-05   0.558329E-05   0.199590E-02   0.222371E-04   0.682096E-03   0.402586E-07   0.112155E-06   0.222371E-04   0.823816E-06
    45   0.127552E+04   0.118813E+01   0.126559E-02   0.398530E-01   0.664371E-03   0.118813E+01   0.814176E-01   0.536676E-06   0.315312E-05   0.381857E-07   0.126559E-02   0.536676E-06   0.105954E-06   0.556475E-05   0.111603E-06   0.398530E-01   0.315312E-05   0.556475E-05   0.203170E-02   0.226374E-04   0.664371E-03   0.381857E-07   0.111603E-06   0.226374E-04   0.835364E-06
    46   0.129386E+04   0.106290E+01   0.124433E-02   0.388044E-01   0.647242E-03   0.106290E+01   0.874544E-01   0.445363E-06   0.291587E-05   0.358670E-07   0.124433E-02   0.445363E-06   0.105430E-06   0.554539E-05   0.111042E-06   0.388044E-01   0.291587E-05   0.554539E-05   0.206693E-02   0.230342E-04   0.647242E-03   0.358670E-07   0.111042E-06   0.230342E-04   0.846657E-06
    47   0.131239E+04   0.922094E+00   0.122374E-02   0.377825E-01   0.630740E-03   0.922094E+00   0.937412E-01   0.293252E-06   0.267463E-05   0.333486E-07   0.122374E-02   0.293252E-06   0.104890E-06   0.552548E-05   0.110475E-06   0.377825E-01   0.267463E-05   0.552548E-05   0.210172E-02   0.234282E-04   0.630740E-03   0.333486E-07   0.110475E-06   0.234282E-04   0.857699E-06
    48   0.133108E+04   0.767277E+00   0.120368E-02   0.368002E-01   0.614897E-03   0.767277E+00   0.100286E+00   0.114450E-06   0.243378E-05   0.306792E-07   0.120368E-02   0.114450E-06   0.104338E-06   0.550528E-05   0.109901E-06   0.368002E-01   0.243378E-05   0.550528E-05   0.213619E-02   0.238204E-04   0.614897E-03   0.306792E-07   0.109901E-06   0.238204E-04   0.868498E-06
    49   0.134993E+04   0.600099E+00   0.118404E-02   0.358709E-01   0.599746E-03   0.600099E+00   0.107097E+00  -0.569353E-07   0.219770E-05   0.279074E-07   0.118404E-02  -0.569353E-07   0.103772E-06   0.548502E-05   0.109323E-06   0.358709E-01   0.219770E-05   0.548502E-05   0.217045E-02   0.242113E-04   0.599746E-03   0.279074E-07   0.109323E-06   0.242113E-04   0.879058E-06
    50   0.136897E+04   0.422345E+00   0.116468E-02   0.350077E-01   0.585320E-03   0.422345E+00   0.114191E+00  -0.186798E-06   0.197079E-05   0.250819E-07   0.116468E-02  -0.186798E-06   0.103196E-06   0.546496E-05   0.108743E-06   0.350077E-01   0.197079E-05   0.546496E-05   0.220462E-02   0.246020E-04   0.585320E-03   0.250819E-07   0.108743E-06   0.246020E-04   0.889387E-06
    51   0.138828E+04   0.235485E+00   0.114553E-02   0.342194E-01   0.571635E-03   0.235485E+00   0.121585E+00  -0.250016E-06   0.175723E-05   0.222640E-07   0.114553E-02  -0.250016E-06   0.102610E-06   0.544532E-05   0.108160E-06   0.342194E-01   0.175723E-05   0.544532E-05   0.223882E-02   0.249930E-04   0.571635E-03   0.222640E-07   0.108160E-06   0.249930E-04   0.899488E-06
    52   0.140780E+04   0.395238E-01   0.112671E-02   0.334966E-01   0.558629E-03   0.395238E-01   0.129278E+00  -0.257415E-06   0.156036E-05   0.195664E-07   0.112671E-02  -0.257415E-06   0.102015E-06   0.542622E-05   0.107578E-06   0.334966E-01   0.156036E-05   0.542622E-05   0.227313E-02   0.253846E-04   0.558629E-03   0.195664E-07   0.107578E-06   0.253846E-04   0.909367E-06
    53   0.142746E+04  -0.166110E+00   0.110837E-02   0.328256E-01   0.546224E-03  -0.166110E+00   0.137261E+00  -0.228806E-06   0.138336E-05   0.171145E-07   0.110837E-02  -0.228806E-06   0.101412E-06   0.540776E-05   0.106995E-06   0.328256E-01   0.138336E-05   0.540776E-05   0.230763E-02   0.257773E-04   0.546224E-03   0.171145E-07   0.106995E-06   0.257773E-04   0.919025E-06
    54   0.144725E+04  -0.382847E+00   0.109067E-02   0.321927E-01   0.534341E-03  -0.382847E+00   0.145527E+00  -0.184001E-06   0.122937E-05   0.150337E-07   0.109067E-02  -0.184001E-06   0.100801E-06   0.539004E-05   0.106412E-06   0.321927E-01   0.122937E-05   0.539004E-05   0.234239E-02   0.261711E-04   0.534341E-03   0.150337E-07   0.106412E-06   0.261711E-04   0.928466E-06
    55   0.146716E+04  -0.612487E+00   0.107376E-02   0.315841E-01   0.522902E-03  -0.612487E+00   0.154070E+00  -0.142809E-06   0.110154E-05   0.134495E-07   0.107376E-02  -0.142809E-06   0.100184E-06   0.537315E-05   0.105830E-06   0.315841E-01   0.110154E-05   0.537315E-05   0.237750E-02   0.265665E-04   0.522902E-03   0.134495E-07   0.105830E-06   0.265665E-04   0.937693E-06
    56   0.148730E+04  -0.857073E+00   0.105776E-02   0.309882E-01   0.511832E-03  -0.857073E+00   0.162880E+00  -0.120308E-06   0.100177E-05   0.124496E-07   0.105776E-02  -0.120308E-06   0.995611E-07   0.535718E-05   0.105250E-06   0.309882E-01   0.100177E-05   0.535718E-05   0.241301E-02   0.269634E-04   0.511832E-03   0.124496E-07   0.105250E-06   0.269634E-04   0.946708E-06
    57   0.150777E+04  -0.111705E+01   0.104252E-02   0.304020E-01   0.501085E-03  -0.111705E+01   0.171958E+00  -0.112629E-06   0.926845E-06   0.119714E-07   0.104252E-02  -0.112629E-06   0.989326E-07   0.534212E-05   0.104672E-06   0.304020E-01   0.926845E-06   0.534212E-05   0.244897E-02   0.273618E-04   0.501085E-03   0.119714E-07   0.104672E-06   0.273618E-04   0.955514E-06
