#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    63    0.16274E+04   -0.31910E+01    0.10178E-04   -0.31910E+01    0.24689E+00   -0.79769E-08    0.10178E-04   -0.79769E-08    0.27425E-10
    64    0.16497E+04   -0.35631E+01    0.98250E-05   -0.35631E+01    0.25843E+00   -0.85159E-08    0.98250E-05   -0.85159E-08    0.26396E-10
    65    0.16721E+04   -0.39505E+01    0.94912E-05   -0.39505E+01    0.27025E+00   -0.93964E-08    0.94912E-05   -0.93964E-08    0.25417E-10
    66    0.16949E+04   -0.43511E+01    0.91771E-05   -0.43511E+01    0.28228E+00   -0.10604E-07    0.91771E-05   -0.10604E-07    0.24483E-10
    67    0.17179E+04   -0.47623E+01    0.88810E-05   -0.47623E+01    0.29452E+00   -0.11929E-07    0.88810E-05   -0.11929E-07    0.23594E-10
    68    0.17413E+04   -0.51827E+01    0.86011E-05   -0.51827E+01    0.30700E+00   -0.13107E-07    0.86011E-05   -0.13107E-07    0.22745E-10
    69    0.17650E+04   -0.56109E+01    0.83352E-05   -0.56109E+01    0.31969E+00   -0.13880E-07    0.83352E-05   -0.13880E-07    0.21936E-10
    70    0.17890E+04   -0.60489E+01    0.80814E-05   -0.60489E+01    0.33262E+00   -0.13984E-07    0.80814E-05   -0.13984E-07    0.21164E-10
    71    0.18131E+04   -0.64992E+01    0.78378E-05   -0.64992E+01    0.34578E+00   -0.13255E-07    0.78378E-05   -0.13255E-07    0.20425E-10
    72    0.18375E+04   -0.69632E+01    0.76035E-05   -0.69632E+01    0.35914E+00   -0.11906E-07    0.76035E-05   -0.11906E-07    0.19720E-10
    73    0.18620E+04   -0.74413E+01    0.73781E-05   -0.74413E+01    0.37266E+00   -0.10249E-07    0.73781E-05   -0.10249E-07    0.19045E-10
    74    0.18868E+04   -0.79325E+01    0.71608E-05   -0.79325E+01    0.38633E+00   -0.85920E-08    0.71608E-05   -0.85920E-08    0.18400E-10
    75    0.19119E+04   -0.84351E+01    0.69510E-05   -0.84351E+01    0.40015E+00   -0.72460E-08    0.69510E-05   -0.72460E-08    0.17782E-10
    76    0.19373E+04   -0.89483E+01    0.67483E-05   -0.89483E+01    0.41413E+00   -0.64562E-08    0.67483E-05   -0.64562E-08    0.17191E-10
    77    0.19630E+04   -0.94718E+01    0.65527E-05   -0.94718E+01    0.42826E+00   -0.62098E-08    0.65527E-05   -0.62098E-08    0.16624E-10
    78    0.19892E+04   -0.10007E+02    0.63643E-05   -0.10007E+02    0.44255E+00   -0.64299E-08    0.63643E-05   -0.64299E-08    0.16080E-10
    79    0.20155E+04   -0.10550E+02    0.61833E-05   -0.10550E+02    0.45697E+00   -0.70394E-08    0.61833E-05   -0.70394E-08    0.15559E-10
    80    0.20422E+04   -0.11101E+02    0.60099E-05   -0.11101E+02    0.47151E+00   -0.79611E-08    0.60099E-05   -0.79611E-08    0.15060E-10
    81    0.20692E+04   -0.11662E+02    0.58440E-05   -0.11662E+02    0.48612E+00   -0.91057E-08    0.58440E-05   -0.91057E-08    0.14580E-10
    82    0.20964E+04   -0.12231E+02    0.56854E-05   -0.12231E+02    0.50082E+00   -0.10335E-07    0.56854E-05   -0.10335E-07    0.14120E-10
    83    0.21239E+04   -0.12808E+02    0.55336E-05   -0.12808E+02    0.51558E+00   -0.11499E-07    0.55336E-05   -0.11499E-07    0.13677E-10
    84    0.21516E+04   -0.13391E+02    0.53882E-05   -0.13391E+02    0.53040E+00   -0.12446E-07    0.53882E-05   -0.12446E-07    0.13253E-10
    85    0.21795E+04   -0.13982E+02    0.52488E-05   -0.13982E+02    0.54525E+00   -0.13027E-07    0.52488E-05   -0.13027E-07    0.12845E-10
    86    0.22076E+04   -0.14579E+02    0.51149E-05   -0.14579E+02    0.56014E+00   -0.13136E-07    0.51149E-05   -0.13136E-07    0.12453E-10
    87    0.22362E+04   -0.15182E+02    0.49862E-05   -0.15182E+02    0.57504E+00   -0.12853E-07    0.49862E-05   -0.12853E-07    0.12076E-10
    88    0.22648E+04   -0.15790E+02    0.48622E-05   -0.15790E+02    0.58996E+00   -0.12302E-07    0.48622E-05   -0.12302E-07    0.11714E-10
    89    0.22938E+04   -0.16406E+02    0.47425E-05   -0.16406E+02    0.60489E+00   -0.11608E-07    0.47425E-05   -0.11608E-07    0.11365E-10
    90    0.23229E+04   -0.17026E+02    0.46268E-05   -0.17026E+02    0.61978E+00   -0.10895E-07    0.46268E-05   -0.10895E-07    0.11028E-10
    91    0.23523E+04   -0.17650E+02    0.45145E-05   -0.17650E+02    0.63464E+00   -0.10267E-07    0.45145E-05   -0.10267E-07    0.10704E-10
    92    0.23820E+04   -0.18278E+02    0.44057E-05   -0.18278E+02    0.64943E+00   -0.97368E-08    0.44057E-05   -0.97368E-08    0.10391E-10
    93    0.24120E+04   -0.18911E+02    0.43002E-05   -0.18911E+02    0.66417E+00   -0.92988E-08    0.43002E-05   -0.92988E-08    0.10089E-10
    94    0.24421E+04   -0.19546E+02    0.41979E-05   -0.19546E+02    0.67880E+00   -0.89456E-08    0.41979E-05   -0.89456E-08    0.97977E-11
    95    0.24725E+04   -0.20184E+02    0.40987E-05   -0.20184E+02    0.69334E+00   -0.86701E-08    0.40987E-05   -0.86701E-08    0.95171E-11
    96    0.25029E+04   -0.20825E+02    0.40027E-05   -0.20825E+02    0.70776E+00   -0.84652E-08    0.40027E-05   -0.84652E-08    0.92467E-11
    97    0.25338E+04   -0.21467E+02    0.39096E-05   -0.21467E+02    0.72204E+00   -0.83239E-08    0.39096E-05   -0.83239E-08    0.89860E-11
    98    0.25649E+04   -0.22109E+02    0.38194E-05   -0.22109E+02    0.73619E+00   -0.82391E-08    0.38194E-05   -0.82391E-08    0.87348E-11
    99    0.25961E+04   -0.22753E+02    0.37321E-05   -0.22753E+02    0.75016E+00   -0.82038E-08    0.37321E-05   -0.82038E-08    0.84927E-11
   100    0.26276E+04   -0.23396E+02    0.36475E-05   -0.23396E+02    0.76396E+00   -0.82109E-08    0.36475E-05   -0.82109E-08    0.82592E-11
   101    0.26592E+04   -0.24039E+02    0.35656E-05   -0.24039E+02    0.77764E+00   -0.82533E-08    0.35656E-05   -0.82533E-08    0.80342E-11
   102    0.26914E+04   -0.24681E+02    0.34862E-05   -0.24681E+02    0.79106E+00   -0.83240E-08    0.34862E-05   -0.83240E-08    0.78173E-11
   103    0.27236E+04   -0.25322E+02    0.34093E-05   -0.25322E+02    0.80428E+00   -0.84158E-08    0.34093E-05   -0.84158E-08    0.76080E-11
   104    0.27560E+04   -0.25960E+02    0.33349E-05   -0.25960E+02    0.81731E+00   -0.85218E-08    0.33349E-05   -0.85218E-08    0.74060E-11
   105    0.27885E+04   -0.26595E+02    0.32627E-05   -0.26595E+02    0.83008E+00   -0.86348E-08    0.32627E-05   -0.86348E-08    0.72111E-11
   106    0.28213E+04   -0.27228E+02    0.31929E-05   -0.27228E+02    0.84265E+00   -0.87479E-08    0.31929E-05   -0.87479E-08    0.70228E-11
   107    0.28540E+04   -0.27857E+02    0.31251E-05   -0.27857E+02    0.85489E+00   -0.88539E-08    0.31251E-05   -0.88539E-08    0.68408E-11
   108    0.28871E+04   -0.28481E+02    0.30595E-05   -0.28481E+02    0.86685E+00   -0.89457E-08    0.30595E-05   -0.89457E-08    0.66648E-11
   109    0.29203E+04   -0.29101E+02    0.29959E-05   -0.29101E+02    0.87848E+00   -0.90164E-08    0.29959E-05   -0.90164E-08    0.64944E-11
   110    0.29536E+04   -0.29714E+02    0.29342E-05   -0.29714E+02    0.88976E+00   -0.90588E-08    0.29342E-05   -0.90588E-08    0.63293E-11
